Issue Type,Issue key,Issue id,Description,Custom field (Serial Number),Custom field (Symptom),Custom field (Symptom),Custom field (Disposition),Custom field (SKU(s)),Custom field (Region),Custom field (Base SKU),Custom field (Root Cause),Custom field (Corrective Action),Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments
Bug,PCOPT-1818,2878893,"EB1-6/6(#382/#383/#384/#385/#386/#387) pcs-(RF cord)The outer layer of the insulating sleeve is cracked.

!image-20260325-084537.png|width=92,alt=""image-20260325-084537.png""!",,,,,,,HT400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1817,2863185,"EB1-3/3(#472/#473/#474)There are cracks in the prongs of the plug @ 16/22/16cycles

!image-20260318-090254.png|width=457,alt=""image-20260318-090254.png""!",,,,,,,HT400,"The crack occurred on the over-mold plastic, and the raw material is PBT 1215, this material is weak for impact resistance.

Material Performance: Elongation at break: {color:#bf2600}2.8{color}, flexural modulus {color:#bf2600}4622{color}, impact resistance: {color:#bf2600}6{color}.","Change the raw material from PBT1215 to PBT B220，to improve the strength.

Material Performance: Elongation at break: {color:#bf2600}3.5,{color} flexural modulus {color:#ff5630}7550{color}, impact resistance: {color:#ff5630}8{color}.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1814,2861254,"Temperature measurements at 6 points 


|Test|Result|Known Good Unit|% Change|
|1|120|91|31.86|
|2|118|97|21.64|
|3|103|94|9.57|
|4|110|100|10|
|5|143|125|14.4|
|6|106|101|4.95|",S01UW703A4S5,,,,Ht200,,HT200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1813,2860176,"EB1-3/3pcs Plug surface abrased.

!image-20260317-070109.png|width=109,alt=""image-20260317-070109.png""!

!image-20260317-070120.png|width=107,alt=""image-20260317-070120.png""!",,,,,,,HT400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1812,2858312,"In-field unit was sent back to Needham. Customer reported loud/strange noise while in use. High-pitched squeal. When tested, high-pitched squeal confirmed.",A05XW707Z2A7,TSF,,,HT400PU,,HT400,,,"Mar/17/2026 3:39 PM;712020:24d125e6-b471-46ee-b35a-7ba1e3db0cec;[Results from CT Scan|https://voyager.lumafield.com/project/d03a4a8f-5537-4332-bf17-97b00316272f]

* Misalignment between plastic motor inlet cover and motor. Parts are not concentric. Possible RC

!image (17)-20260317-193755.png|width=632,alt=""image (17)-20260317-193755.png""!

!image (18)-20260317-193821.png|width=611,alt=""image (18)-20260317-193821.png""!

!image (19)-20260317-193839.png|width=632,alt=""image (19)-20260317-193839.png""!","Mar/17/2026 3:42 PM;712020:24d125e6-b471-46ee-b35a-7ba1e3db0cec;Quantified Missalignment:

!image-20260317-194247.png|width=647,alt=""image-20260317-194247.png""!","Mar/17/2026 4:52 PM;712020:24d125e6-b471-46ee-b35a-7ba1e3db0cec;*CT Scan Analysis motor tilt in mount*

Y-AXIS VIEW


!image-20260317-205156.png|width=632,alt=""image-20260317-205156.png""!

X-AXIS VIEW 

!image-20260317-204955.png|width=647,alt=""image-20260317-204955.png""!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1811,2854384,"HD752EU_SN Packaging Test(Protocol number: GP-PK-IS-002)_EB1_3/3MC(84#,85#,86#)tested, Diffuser, Concentrator, styling brush surface was scratched after test. (Spec: no damage to Unit or Carton,it is suitable for sale)

!image-20260316-084400.png|width=686,alt=""image-20260316-084400.png""!",,,,,HD752EU,,HD700INTL,The scratches due to the high vibration and rub against the cardboard directly.,We have no better solution if wrap the accessories in the bag.,"Mar/19/2026 10:47 PM;712020:11a6b87a-0649-4918-aab8-7ef8da70ae41;[~accountid:615c5172d9820f0070af4d12]  I would like to confirm if the market teams get any related complaints about these. If no, I hope this ticket could be closed. Thanks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1810,2854383,"HD752EU_SN Packaging Test(Protocol number: GP-PK-IS-002)_EB1_1/3MC(84#)tested,there are some minor abrasion on IB after test.(Spec: no damage to Unit or Carton,it is suitable for sale)

!image-20260316-084206.png|width=686,alt=""image-20260316-084206.png""!",,,,,HD752EU,,HD700INTL,The manual is not fixed and move during the vibration test due to the high vibration frequency.,We asked to supplier to improve the surface process.,"Mar/19/2026 10:40 PM;712020:11a6b87a-0649-4918-aab8-7ef8da70ae41;[~accountid:615c5172d9820f0070af4d12]  We have many similar color transfer on the manuals and boxes. I would like to confirm if the market teams get any related complaints about these. If no, I hope this ticket could be closed. Thanks",Mar/20/2026 9:11 AM;615c5172d9820f0070af4d12;[~accountid:712020:11a6b87a-0649-4918-aab8-7ef8da70ae41] is this the Style Guide? I think we are VE this out of all Speed SKU’s let me check on that. Otherwise. I am aligned to close. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1809,2848216,EB1-3/3 pcs sharpness is 2.72/2.71/2.73 out of spec Sharpness: ≤ 2.7 ,,,,,,,HT400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1808,2848202,"EB1-2/3(#358/#359) Test in40%UT -The unit stop working with power supply dips. It needs the operator help to restore normal status by repress ""RESET"" button.",,,,,,,HT400,"Duplicate issue ：PRCD circuit breaker tripped to protect the system when the voltage was extremely low, no safety issue and did not damage the unit.",N/A,Mar/23/2026 11:51 PM;634cd263d66d8108a1210009;[~accountid:5ece92c0c761b10c33e0989d]  This is duplicate issue link [https://sharkninja.atlassian.net/browse/HT400-254|https://sharkninja.atlassian.net/browse/HT400-254|smart-link]  suggest to close it.,Mar/24/2026 10:34 AM;5ece92c0c761b10c33e0989d;aligned to close based on new acceptance criteria and no safety issue. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-1807,2846196,"HD6051S_EB1_Hair care Hair styler ABR Test(Protocol number: HC-AB-IS-004)_1/2(362#)tested, the unit stopped working with LED4&6 flashing at 12c/s, 20c/s,  52c/s, 82c/s during ABR test.(Spec: 50h(100c/s) No function issue or other issue affect user experience.)",,,,,,,HD6000,It’s a MP issue no link to the the painting,It’s a MP issue no link to the the painting,Mar/12/2026 2:42 AM;5fc98f7747ac91006f0be309;[~accountid:615c5172d9820f0070af4d12] the LED4&6 flashing is a MP issue been happening since what time i don’t know but surely has nothing to do with YFN painting where only apply the housings and button painting. suggest to close this ticket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
